Type,Name,Category,Company,Food and beverage category,Product line/Brand,Ethnicity,Age
Ent,Abdulmajid Iman,Actress/Model,Milk PEP,Dairy,Milk ,BFE,60
Ent,Adams William will.i.am,Musician,TCCC,SSB,Coca-Cola,BME,41
Ent,Adams William will.i.am,Musician,PepsiCo,Salty,Doritos,BME,41
Ent,Adams William will.i.am,Musician,Dr Pepper Snapple Group,SSB,Dr Pepper,BME,41
Ent,Adams William will.i.am,Musician,PepsiCo,SSB,Pepsi,BME,41
Ent,Agdal Nina,Model,CKE Restaurants,QSR,Carl's Jr,WFE,23
Ent,Aguilera Christina,Actress/Musician,PepsiCo,SSB,Pepsi,WFE,34
Ent,Aguilera Christina,Actress/Musician,TCCC,SSB,Coca-Cola,WFE,34
Ent,Akintimehin Olubowale Victor Wale,Musician,TCCC,SSB,Sprite,BME,31
Ent,Alba Jessica,Actress/Entrepreneur,Milk PEP,Dairy,Milk ,MFE,34
Ent,Alba Jessica,Actress/Entrepreneur,TCCC,LCB,ZICO,MFE,34
Ent,Alba Jessica,Actress/Entrepreneur,PHA,Fruit and Vegetables,FNV,MFE,34
Ent,Aldean Jason ,Musician,PepsiCo,SSB,Mountain Dew,WME,39
Ent,Amaro Melanie ,Musician,PepsiCo,SSB,Pepsi,WFE,24
Ent,Angello Steve Swedish House Mafia,Musician,Kraft Foods Group Inc,NCB,MiO Energy ,WME,32
Ent,Aniston Jennifer,Actress,Milk PEP,Dairy,Milk ,WFE,46
Ent,Aniston Jennifer,Actress,TCCC,Water,Smartwater,WFE,46
Ent,Applegate Christina,Actress/Dancer,TCCC,NCB,Fruitwater,WFE,44
Ent,Aykroyd Dan ,Actor/Musician,Globefill Inc,Alcohol,Crystal Head Vodka,WME,63
Ent,Bacon Kevin,Actor/Musician,American Egg Board,Meals,Eggs,WME,56
Ent,Baldwin Alec ,Actor,TCCC,Water,Smartwater,WME,57
Ent,Bangalter Thomas Daft Punk,Musician,TCCC,SSB,Coca-Cola,WME,41
Ent,Banks Tyra,Actress/Model,Milk PEP,Dairy,Milk ,BFE,41
Ent,Barnett Zac American Authors,Musician,Unilever,SSB,Lipton Iced Tea,WME,29
Ent,Barton Mischa,Actress/Model,Milk PEP,dairy,Milk ,WFE,29
Ent,Batyske Mick MICK,Musician,PHA,Fruit and Vegetables,FNV,WME,38
Ent,Beer Madison,Actress/Musician,PHA,Fruit and Vegetables,FNV,WFE,16
